emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt
frustrated,0.3209,0.4374,0.0084,-5.8838
frustrated,0.4333,0.5274,0.2016,-11.9226
frustrated,0.1467,0.4148,0.1547,8.2649
frustrated,0.2901,0.365,0.0202,-12.7809
frustrated,0.2669,0.4624,0.0011,3.6756
frustrated,0.3178,0.4518,0.0239,-6.5184
frustrated,0.3277,0.4424,0.5629,-28.9015
frustrated,0.0704,0.3402,0.4481,0.4343
frustrated,0.3465,0.3727,0.0774,8.6952
frustrated,0.2832,0.4587,0.0384,1.0339
frustrated,0.1594,0.3799,0.5528,11.591
frustrated,0.2467,0.3443,0.0275,20.9676
frustrated,0.5192,0.4375,0.0608,0.2366
frustrated,0.2996,0.5446,0.0071,-2.6835
frustrated,0.3939,0.4042,0.0188,3.3455
frustrated,0.4226,0.3722,0.2545,1.8037
frustrated,0.3898,0.2945,0.5761,4.5456
frustrated,0.2851,0.4479,0.5171,-17.9805
frustrated,0.2726,0.3572,0.4326,-5.6523
frustrated,0.0217,0.4377,0.2394,1.0048
frustrated,0.3335,0.3886,0.1846,-6.6664
frustrated,0.2794,0.4191,0.0136,-0.1409
frustrated,0.2951,0.4419,0.0045,-13.2261
frustrated,0.3477,0.4168,0.792,5.969
frustrated,0.117,0.3891,0.501,0.0162
frustrated,0.2952,0.4647,0.2909,-19.5486
frustrated,0.3763,0.686,0.0209,-7.7834
frustrated,0.2313,0.4309,0.0465,1.285
frustrated,0.3445,0.4829,0.0686,-17.8464
frustrated,0.3655,0.5099,0.018,-0.9428
frustrated,0.4329,0.5753,0.2779,-2.1254
frustrated,0.3687,0.4154,0.01,-2.5494
frustrated,0.3602,0.4716,0.4564,-2.458
frustrated,0.3488,0.4018,0.8179,0.6322
frustrated,0.3037,0.5147,0.014,0.9667
frustrated,0.3972,0.4092,0.0674,0.7065
frustrated,0.3701,0.4664,0.3294,-0.4849
frustrated,0.2506,0.6188,0.0144,-6.0216
frustrated,0.2637,0.3833,0.202,6.8654
frustrated,0.3635,0.4242,0.3003,-0.915
frustrated,0.3472,0.4363,0.0099,20.7188
frustrated,0.2635,0.2808,0.0075,3.8299
frustrated,0.3517,0.4886,0.009,-3.694
frustrated,0.2678,0.4868,0.1713,-0.2006
frustrated,0.3272,0.3436,0.0045,22.4849
frustrated,0.0323,0.2636,0.7592,10.9714
frustrated,0.3214,0.4504,0.1695,7.2487
frustrated,0.2855,0.2666,0.0328,3.6465
frustrated,0.3178,0.4988,0.1993,0.6707
frustrated,0.0586,0.4111,0.3389,-11.2943
frustrated,0.0311,0.3813,0.7267,-2.0214
frustrated,0.3415,0.4706,0.3169,-1.3369
frustrated,0.3334,0.3969,0.0053,5.5982
frustrated,0.3865,0.4856,0.2026,12.5025
frustrated,0.1938,0.4157,0.6371,-18.5437
frustrated,0.2846,0.2,0.2413,59.7201
frustrated,0.4284,0.6189,0.0226,-11.6921
frustrated,0.2778,0.5544,0.5781,1.1995
frustrated,0.3027,0.4629,0.051,1.0101
frustrated,0.3077,0.3564,0.3205,2.1596
frustrated,0.4206,0.4059,0.0466,-10.4054
frustrated,0.3667,0.3829,0.0263,-3.8806
frustrated,0.357,0.4823,0.1004,7.1656
frustrated,0.1113,0.3616,0.6197,1.1903
frustrated,0.2523,0.3912,0.021,-0.1205
frustrated,0.3606,0.4487,0.3215,-5.8126
frustrated,0.2243,0.4626,0.5784,-6.5173
frustrated,0.2711,0.3952,0.5991,0.3448
frustrated,0.2882,0.4858,0.4347,-17.2285
frustrated,0.2053,0.4073,0.4781,-19.2905
frustrated,0.2548,0.4599,0.04,2.6979
frustrated,0.0268,0.5062,0.0732,6.2444
frustrated,0.2891,0.4969,0.0247,1.8827
frustrated,0.4174,0.4699,0.0818,1.2674
frustrated,0.2962,0.3009,0.4097,23.1363
frustrated,0.3557,0.3238,0.6958,-7.7762
frustrated,0.2335,0.3547,0.5219,3.2328
frustrated,0.4215,0.3433,0.6329,-14.0232
frustrated,0.4129,0.4125,0.0166,-1.8237
frustrated,0.4025,0.4948,0.0513,-14.3998
frustrated,0.1994,0.3425,0.2072,38.3573
frustrated,0.2735,0.4482,0.0428,-10.6159
frustrated,0.3009,0.5404,0.0273,-9.5145
frustrated,0.3902,0.5311,0.0141,0.9616
frustrated,0.2862,0.3079,0.1355,13.985
frustrated,0.3104,0.4653,0.1448,0.2636
frustrated,0.3996,0.4284,0.9669,1.1751
frustrated,0.0954,0.435,0.0095,-7.277
frustrated,0.3569,0.4261,0.0347,-1.7157
frustrated,0.3204,0.4056,0.2545,2.202
frustrated,0.2574,0.3854,0.5624,-6.0876
frustrated,0.3552,0.4105,0.0523,0.3975
frustrated,0.3139,0.429,0.172,3.6688
frustrated,0.1386,0.3715,0.1625,7.4168
frustrated,0.3403,0.4437,0.4046,-0.7479
frustrated,0.1366,0.5347,0.5358,5.8375
frustrated,0.5707,0.2559,0.275,-8.0239
frustrated,0.2758,0.3507,0.35,-24.7563
frustrated,0.2042,0.3611,0.3439,3.7299
frustrated,0.0998,0.4011,0.1756,-7.5103
frustrated,0.2386,0.4043,0.0531,2.6397
frustrated,0.2486,0.3302,0.1242,-8.898
frustrated,0.137,0.3404,0.0696,44.8225
frustrated,0.3902,0.5311,0.0141,0.9616
frustrated,0.3508,0.4279,0.0098,-9.3346
frustrated,0.2689,0.3748,0.9907,-14.7293
frustrated,0.3223,0.3832,0.1655,-12.8057
frustrated,0.1636,0.3382,0.9753,-22.6456
frustrated,0.251,0.3135,0.0792,-12.9007
frustrated,0.3116,0.4154,0.4307,-2.4992
frustrated,0.3607,0.448,0.2767,-5.5823
frustrated,0.2727,0.3656,0.0417,-5.9446
frustrated,0.3568,0.4616,0.0052,2.7295
frustrated,0.2752,0.4794,0.3538,-1.2948
frustrated,0.1332,0.538,0.0224,-8.3237
frustrated,0.3008,0.4038,0.6146,-5.841
frustrated,0.2145,0.4408,0.1034,-11.3773
frustrated,0.3242,0.4725,0.0789,-7.2849
frustrated,0.1353,0.4441,0.6048,-2.6611
frustrated,0.3294,0.4043,0.1112,-12.3277
frustrated,0.3613,0.4205,0.2391,9.3482
frustrated,0.2913,0.3131,0.064,-5.6435
frustrated,0.3221,0.3939,0.3594,0.2847
frustrated,0.2525,0.524,0.6358,0.681
frustrated,0.3114,0.4284,0.4619,-2.6636
frustrated,0.2155,0.3219,1.0257,30.9445
frustrated,0.2866,0.4047,0.4711,1.473
frustrated,0.2304,0.2876,0.2005,8.3332
frustrated,0.3124,0.4422,0.6631,-0.4467
frustrated,0.2305,0.4407,0.0048,4.0973
frustrated,0.3276,0.4834,0.076,-9.0469
frustrated,0.3481,0.3173,0.1848,-5.4183
frustrated,0.2645,0.4619,0.5169,13.077
frustrated,0.5057,0.4554,0.1961,4.5224
frustrated,0.1701,0.4132,0.4709,-5.4544
frustrated,0.3048,0.3944,0.0119,-2.7
frustrated,0.3833,0.5676,0.0094,25.8193
frustrated,0.3221,0.4522,0.0022,7.2977
frustrated,0.2101,0.3874,0.0332,6.8335
frustrated,0.1247,0.3429,0.3701,-0.6371
frustrated,0.2707,0.4145,0.2159,1.506
frustrated,0.3979,0.3941,0.3679,-1.7697
frustrated,0.3388,0.4176,0.6335,19.079
frustrated,0.3033,0.4807,0.0229,2.6188
frustrated,0.0474,0.4294,0.6968,-6.0519
frustrated,0.178,0.4245,0.22,-8.4192
frustrated,0.287,0.325,0.3432,-3.5485
frustrated,0.3335,0.3886,0.1846,-6.6664
frustrated,0.3248,0.2876,0.7796,-4.6351
frustrated,0.049,0.4534,0.4444,-13.5928
frustrated,0.2707,0.2912,0.0614,-6.9504
frustrated,0.3467,0.3708,0.0099,-9.4823
frustrated,0.2774,0.4448,0.4095,11.693
frustrated,0.2524,0.6049,0.0909,5.0468
frustrated,0.3145,0.4478,0.1937,3.1589
frustrated,0.4697,0.2634,0.0524,17.908
frustrated,0.2925,0.4267,0.6558,-16.2371
frustrated,0.2941,0.4481,0.0036,-0.0044
frustrated,0.2772,0.4722,0.026,-14.2965
frustrated,0.2959,0.4333,0.0147,-4.5121
frustrated,0.368,0.4346,0.0571,-8.5556
frustrated,0.4058,0.4231,0.2179,3.0947
frustrated,0.1878,0.3827,0.7864,-18.2041
frustrated,0.34,0.4322,0.0054,-6.7501
frustrated,0.2783,0.4172,0.009,0.1149
frustrated,0.3438,0.3732,0.175,-6.1761
frustrated,0.2959,0.3924,0.8271,-6.7113
frustrated,0.2948,0.339,1.006,3.5888
frustrated,0.3328,0.4129,0.7075,-6.1863
frustrated,0.3846,0.3999,0.3216,-4.8057
frustrated,0.1787,0.4629,0.654,-21.9098
frustrated,0.2606,0.4833,0.0996,-7.2684
frustrated,0.1309,0.4205,0.1864,1.8064
frustrated,0.2709,0.4735,0.4386,-7.5865
frustrated,0.2577,0.3835,0.3749,-2.7588
frustrated,0.3196,0.567,0.4421,-1.8172
frustrated,0.3045,0.6253,0.1834,-2.6184
frustrated,0.2287,0.3927,0.0111,13.4265
frustrated,0.3677,0.4556,0.11,14.2636
frustrated,0.2904,0.4357,0.0157,11.3925
frustrated,0.3249,0.3239,0.0636,3.7264
frustrated,0.3987,0.4147,0.2458,-6.9971
frustrated,0.2697,0.5766,0.3026,1.1605
frustrated,0.3207,0.3048,0.1884,-20.7708
frustrated,0.228,0.4115,0.8911,0.9112
frustrated,0.4162,0.4201,0.6036,-0.8479
frustrated,0.3133,0.3008,0.1314,-36.6945
frustrated,0.3063,0.4384,0.0622,28.8789
frustrated,0.3518,0.4298,0.5172,9.02
frustrated,0.2343,0.4406,0.054,-9.8046
frustrated,0.3782,0.4296,0.3692,-6.5642
frustrated,0.2689,0.3089,0.0183,5.1646
frustrated,0.3999,0.3335,1.001,2.1564
frustrated,0.4257,0.4834,0.0189,-1.0567
frustrated,0.1804,0.4791,0.2107,-5.9378
frustrated,0.1665,0.3375,0.584,-0.0905
frustrated,0.2157,0.2989,0.646,-8.2621
frustrated,0.3424,0.4407,0.0191,0.4474
frustrated,0.245,0.4352,0.0073,1.284
frustrated,0.3677,0.4379,0.5242,1.4436
frustrated,0.355,0.5858,0.0667,8.4474
frustrated,0.3485,0.3024,0.4406,-10.7818
frustrated,0.3599,0.4642,0.5705,-0.1262
frustrated,0.204,0.4926,0.0763,-2.0946
frustrated,0.4159,0.4198,0.0847,-9.586
frustrated,0.3324,0.4188,0.0246,13.0606
frustrated,0.2192,0.4572,0.4743,1.5325
frustrated,0.3642,0.3454,0.0436,-3.3447
frustrated,0.2657,0.4577,0.0252,-15.0286
frustrated,0.1924,0.3263,0.505,6.126
frustrated,0.3818,0.4964,0.0181,-4.0134
frustrated,0.3128,0.3782,0.0689,-0.0494
frustrated,0.3639,0.5114,0.0026,13.2489
frustrated,0.3186,0.277,0.0089,0.9966
frustrated,0.3151,0.3008,0.8358,-5.6982
frustrated,0.248,0.3879,0.6746,-2.3955
frustrated,0.2507,0.4987,0.0388,1.7375
frustrated,0.2561,0.3441,0.4046,9.6515
frustrated,0.3445,0.4749,0.0134,0.6156
frustrated,0.387,0.5132,0.1275,2.4022
frustrated,0.3729,0.4888,0.5293,0.0333
frustrated,0.193,0.4374,0.392,-1.2761
frustrated,0.3058,0.6964,0.0502,-2.6343
frustrated,0.2835,0.4664,0.6198,-16.542
frustrated,0.2302,0.4135,0.1253,-2.4345
frustrated,0.4317,0.4465,0.03,-34.8312
frustrated,0.2315,0.5448,0.5158,-9.8958
frustrated,0.2348,0.49,0.0025,-2.0442
frustrated,0.3601,0.366,0.6554,25.4899
frustrated,0.342,0.3747,0.2033,-7.9525
frustrated,0.291,0.4098,0.8576,-1.4705
frustrated,0.2881,0.2972,0.0193,-6.2915
frustrated,0.227,0.3556,0.108,0.5739
frustrated,0.0919,0.4513,0.4116,-6.4907
frustrated,0.341,0.5116,0.0045,-2.161
frustrated,0.2568,0.368,0.3322,-2.2334
frustrated,0.0504,0.4316,0.3835,-13.3936
frustrated,0.2792,0.4469,0.7249,-15.5301
frustrated,0.3175,0.3047,0.0054,2.7361
frustrated,0.3955,0.3571,0.3162,22.1962
frustrated,0.2804,0.4606,0.0161,-13.2345
frustrated,0.3133,0.4413,0.1689,-4.9248
frustrated,0.3822,0.4331,0.1882,-1.6838
frustrated,0.2918,0.3801,0.4535,-6.6282
frustrated,0.3504,0.3513,0.0289,-21.067
frustrated,0.3217,0.5282,0.0469,-15.1674
frustrated,0.3152,0.4014,0.0343,-1.909
frustrated,0.2901,0.502,0.1519,-7.5858
frustrated,0.3674,0.4177,0.3044,3.1909
frustrated,0.3545,0.3369,0.0176,-15.3938
frustrated,0.344,0.459,0.7843,-13.4967
frustrated,0.3802,0.5037,0.0023,5.2824
frustrated,0.2697,0.4397,0.1217,-4.6504
frustrated,0.3055,0.4227,0.4876,-1.0477
frustrated,0.3446,0.3248,0.9526,-9.8425
frustrated,0.2892,0.484,0.0026,8.5938
frustrated,0.1849,0.4097,0.5006,0.2558
frustrated,0.4675,0.3854,0.3073,7.75
frustrated,0.2821,0.4977,0.0087,-20.4933
frustrated,0.2998,0.3937,0.4444,15.1893
frustrated,0.2407,0.3007,0.5983,2.1794
frustrated,0.3971,0.5201,0.2238,-7.3619
frustrated,0.0932,0.4563,0.004,6.7024
frustrated,0.4029,0.3775,0.0919,25.5859
frustrated,0.3236,0.4035,0.0103,0.3244
frustrated,0.3497,0.3738,0.0467,-26.9222
frustrated,0.3989,0.4297,0.6205,-3.06
frustrated,0.0262,0.3343,0.5182,-0.803
frustrated,0.1722,0.4324,0.3028,2.7781
frustrated,0.239,0.3046,0.0343,-39.6338
frustrated,0.4345,0.4139,0.0581,9.5035
frustrated,0.3745,0.452,0.0061,-0.2226
frustrated,0.1949,0.4399,0.0148,1.8141
frustrated,0.3278,0.5392,0.0048,19.5372
frustrated,0.3289,0.4878,0.7294,6.3767
frustrated,0.2434,0.3926,0.4592,0.8521
frustrated,0.2871,0.304,0.2788,17.3753
frustrated,0.3335,0.4865,0.0394,-20.9991
frustrated,0.3795,0.5063,0.0093,-2.3965
frustrated,0.0356,0.4851,0.2177,0.6983
frustrated,0.2408,0.4301,0.0605,2.5321
frustrated,0.419,0.4936,0.5396,3.4471
frustrated,0.1382,0.3309,0.0078,11.1882
frustrated,0.0536,0.441,0.8178,-2.5192
frustrated,0.484,0.4434,0.1392,5.6282
frustrated,0.5363,0.2994,0.4437,-25.572
frustrated,0.3866,0.4705,0.1916,18.1967
frustrated,0.1204,0.3665,0.5317,-0.8011
frustrated,0.3583,0.5244,0.0336,-7.1639
frustrated,0.3691,0.462,0.011,3.3399
frustrated,0.2884,0.3035,0.0862,-7.5672
frustrated,0.4405,0.5081,0.1648,5.7018
frustrated,0.3651,0.3785,0.0142,-10.631
frustrated,0.2472,0.4728,0.1816,-25.8289
frustrated,0.3879,0.4214,0.6223,5.0251
frustrated,0.366,0.5123,0.0505,-3.7421
frustrated,0.3364,0.3144,0.4575,-4.1829
frustrated,0.2898,0.3941,0.4701,1.1908
frustrated,0.1797,0.2399,0.6915,-0.7421
frustrated,0.2429,0.5287,0.0666,-11.4694
frustrated,0.2656,0.5727,0.2705,11.2426
frustrated,0.4002,0.4344,0.3889,-7.0152
frustrated,0.2447,0.4018,0.3029,0.4645
frustrated,0.381,0.467,0.0186,3.2699
frustrated,0.378,0.3976,0.2849,3.7376
frustrated,0.3352,0.4945,0.0146,-1.2659
frustrated,0.3023,0.3295,0.4202,-15.4359
frustrated,0.375,0.52,0.3032,14.2919
frustrated,0.3601,0.4388,0.7513,2.0885
frustrated,0.3432,0.354,0.8671,-14.4798
