emotion,eye_openness,eyebrow_distance,mouth_opening,head_tilt,mouth_width,mouth_height,eyebrow_asymmetry
frustrated,0.1518,0.4424,0.316,-3.5773,0.2758,0.0872,0.0313
frustrated,0.2322,0.3675,0.0255,-3.9288,0.2252,0.0058,0.0596
frustrated,0.3756,0.4277,0.8501,1.7833,0.2502,0.2127,0.0042
frustrated,0.0837,0.3868,0.596,-5.8977,0.292,0.174,0.0579
frustrated,0.3411,0.4315,0.5095,6.7989,0.2143,0.1092,0.0333
frustrated,0.3617,0.4555,0.5145,2.3014,0.3038,0.1563,0.0263
frustrated,0.2981,0.6828,0.0552,3.3529,0.3467,0.0191,0.0706
frustrated,0.3438,0.5025,0.3139,0.3153,0.3215,0.1009,0.0019
frustrated,0.2942,0.46,0.1189,-6.2352,0.274,0.0326,0.0497
frustrated,0.2914,0.3364,0.006,5.1877,0.2347,0.0014,0.0351
frustrated,0.2844,0.4183,0.2687,6.7367,0.2388,0.0642,0.0575
frustrated,0.2182,0.4051,0.3433,-1.6135,0.2645,0.0908,0.0243
frustrated,0.3968,0.4489,0.045,-6.586,0.2728,0.0123,0.058
frustrated,0.2014,0.4798,0.762,2.0954,0.327,0.2492,0.0209
frustrated,0.2984,0.5114,0.0061,-5.0049,0.3011,0.0018,0.032
frustrated,0.3145,0.4579,0.0076,11.3744,0.2216,0.0017,0.1071
frustrated,0.4174,0.4594,0.2962,-17.0391,0.2122,0.0629,0.139
frustrated,0.2859,0.4836,0.0286,0.7142,0.2716,0.0078,0.0132
frustrated,0.2875,0.3747,0.5419,8.83,0.2035,0.1103,0.0713
frustrated,0.2589,0.457,0.6134,-3.8117,0.2796,0.1715,0.0231
frustrated,0.3781,0.48,0.1395,-0.6756,0.2395,0.0334,0.0131
frustrated,0.2741,0.5172,0.5105,-3.525,0.3348,0.1709,0.0201
frustrated,0.392,0.4168,0.069,12.4501,0.2266,0.0156,0.1037
frustrated,0.1657,0.4436,0.0299,-3.8594,0.3256,0.0097,0.0349
frustrated,0.2714,0.4447,0.2034,8.4152,0.24,0.0488,0.0684
frustrated,0.4006,0.3604,0.6838,-16.1195,0.2113,0.1445,0.115
frustrated,0.0541,0.409,0.6426,1.829,0.2442,0.1569,0.0117
frustrated,0.1338,0.4331,0.6698,1.1273,0.2984,0.1999,0.0223
frustrated,0.3731,0.4526,0.0147,-5.8603,0.2343,0.0035,0.0472
frustrated,0.3286,0.323,0.0478,2.8878,0.1614,0.0077,0.0024
frustrated,0.1193,0.4976,0.2652,-4.4219,0.2213,0.0587,0.0511
frustrated,0.393,0.4274,0.6556,-5.3145,0.2597,0.1703,0.0565
frustrated,0.2471,0.3768,0.5404,4.3297,0.2526,0.1365,0.0374
frustrated,0.3463,0.5283,0.1274,-12.093,0.2843,0.0362,0.1335
frustrated,0.4048,0.3902,0.0679,-15.0808,0.1978,0.0134,0.1075
frustrated,0.2635,0.3915,0.003,19.0274,0.1892,0.0006,0.1151
frustrated,0.3997,0.3745,0.0669,-6.194,0.2321,0.0155,0.0496
frustrated,0.4023,0.4388,0.0397,1.088,0.1861,0.0074,0.0133
frustrated,0.3751,0.4088,0.7605,2.2027,0.2614,0.1988,0.0314
frustrated,0.1361,0.5665,0.2888,-4.1468,0.383,0.1106,0.0546
frustrated,0.3721,0.4325,0.1686,-4.5926,0.2139,0.0361,0.0435
frustrated,0.3472,0.4799,0.3115,11.9947,0.2501,0.0779,0.1037
frustrated,0.3876,0.4834,0.0033,5.4302,0.2527,0.0008,0.049
frustrated,0.3179,0.4118,0.6958,0.1981,0.2464,0.1714,0.0114
frustrated,0.0305,0.3646,0.4137,5.2652,0.2849,0.1179,0.0398
frustrated,0.2868,0.389,0.0237,-14.4114,0.2698,0.0064,0.1125
frustrated,0.31,0.4988,0.0481,0.3048,0.269,0.0129,0.0021
frustrated,0.3109,0.3739,0.27,-1.308,0.248,0.067,0.0047
frustrated,0.2906,0.3669,0.2753,-3.3456,0.296,0.0815,0.0188
frustrated,0.3271,0.5517,0.3799,-11.7246,0.2665,0.1013,0.1428
frustrated,0.2169,0.2875,0.4014,4.6899,0.1898,0.0762,0.0288
frustrated,0.4018,0.4813,0.0091,-6.9229,0.2248,0.002,0.0767
frustrated,0.2597,0.4356,0.3089,-13.3767,0.3217,0.0994,0.1124
frustrated,0.0876,0.3908,0.0168,5.6139,0.2687,0.0045,0.0369
frustrated,0.1641,0.4103,0.3967,-1.744,0.312,0.1238,0.0107
frustrated,0.3132,0.4065,0.1244,1.8708,0.186,0.0231,0.0239
frustrated,0.2535,0.2432,0.0194,32.4893,0.1345,0.0026,0.1598
frustrated,0.3152,0.5368,0.2076,4.0062,0.3441,0.0714,0.0415
frustrated,0.3525,0.4476,0.0248,1.8104,0.2414,0.006,0.0203
frustrated,0.2369,0.469,0.1209,9.6413,0.2542,0.0307,0.0834
frustrated,0.396,0.1292,0.0185,-58.9898,0.0508,0.0009,0.0954
frustrated,0.419,0.3963,0.2333,0.8437,0.2693,0.0628,0.0018
frustrated,0.4356,0.453,0.2451,1.4954,0.2496,0.0612,0.017
frustrated,0.2724,0.3929,0.089,9.167,0.1673,0.0149,0.0711
frustrated,0.4108,0.5721,0.0106,6.7889,0.2962,0.0031,0.0672
frustrated,0.2832,0.3128,0.5646,-0.5751,0.2185,0.1234,0.0027
frustrated,0.2334,0.5078,0.003,0.3636,0.3254,0.001,0.0063
frustrated,0.3416,0.6526,0.0411,-12.1531,0.2945,0.0121,0.1581
frustrated,0.2699,0.4001,0.0033,-3.4035,0.2965,0.001,0.0262
frustrated,0.4184,0.549,0.5607,2.4392,0.2566,0.1439,0.0325
frustrated,0.2594,0.4953,0.2307,0.9007,0.3351,0.0773,0.0089
frustrated,0.5187,0.3005,0.925,-5.7094,0.1118,0.1034,0.0373
frustrated,0.3375,0.4235,0.0098,-2.1086,0.2993,0.0029,0.0322
frustrated,0.2754,0.4077,0.3124,3.8417,0.3216,0.1005,0.0263
frustrated,0.4273,0.3972,0.2508,1.7562,0.2181,0.0547,0.0116
